0.97,63,66,1
0.93,46,53,1
1.15,82,77,0
1.06,71,71,1
1,70,80,1
0.99,58,64,1
1.3,87,81,0
1.1,84,90,0
1.12,67,68,1
1.13,82,84,1
1.08,82,77,1
1.22,89,82,0
1.17,86,90,0
1.3,86,81,1
1.13,74,81,0
1.09,84,85,1
1.16,70,73,0
1.11,93,89,0
1.14,82,87,0
1.15,75,75,0
1.24,85,80,0
1.13,76,83,0
1.16,96,89,0
1.09,75,77,0
1.2,89,84,0
1.28,92,86,0
1.19,84,90,0
1.18,79,83,1
1.09,83,88,0
1.2,94,85,0
1.26,88,88,0
1.22,96,98,0
1.11,79,75,1
1.27,86,83,0
1.15,94,90,0
1.21,84,83,1
1.21,84,86,0
1.17,81,81,0
1.31,106,94,0
1.3,101,88,0
1.1,78,91,1
1.18,96,89,0
1.27,117,99,0
1.22,99,92,0
1.23,91,85,0
1.24,93,88,0
1.26,87,87,1
1.16,78,77,1
1.34,93,82,0
1.23,93,96,0
1.26,89,91,0
1.23,86,88,0
1.25,101,97,0
1.14,82,90,0
1.21,87,86,0
1.21,82,81,0
1.35,104,105,0
1.21,95,91,0
1.14,83,89,0
1.26,105,89,0
1.26,98,93,0
1.13,73,91,1
1.19,98,94,0
1.31,89,84,0
1.13,79,95,0
1.28,96,92,0
1.27,96,101,0
1.25,104,94,0
1.16,80,90,0
1.29,96,89,0
1.24,90,79,0
1.31,96,90,0
1.25,90,90,0
1.26,114,99,0
1.22,88,90,0
1.18,92,92,0
1.3,98,95,0
1.29,100,95,0
1.26,102,95,0
1.2,88,91,0
1.32,100,94,0
1.19,81,83,0
1.21,89,90,0
1.21,94,90,0
1.19,84,97,0
1.47,109,92,0
1.23,90,94,0
1.32,108,84,0
1.36,104,94,0
1.44,104,92,0
1.3,93,92,0
1.41,107,97,0
1.24,102,94,0
1.21,95,94,0
1.2,85,83,0
1.24,92,92,0
1.21,90,100,0
1.2,93,91,0
1.3,105,102,0
1.24,106,95,0
1.32,108,99,0
1.31,102,86,0
1.15,88,97,0
1.26,93,101,0
1.37,115,99,0
1.35,107,96,0
1.25,95,96,0
1.37,97,99,0
1.15,84,93,0
1.13,89,96,0
1.29,84,83,1
1.25,99,98,0
1.3,94,90,0
1.35,102,100,0
1.32,98,96,0
1.32,91,90,0
1.13,94,99,0
1.2,96,98,0
1.31,100,102,0
1.17,83,83,0
1.19,92,99,0
1.2,82,92,0
1.31,90,95,0
1.19,96,98,0
1.25,86,88,0
1.26,93,93,0
1.31,100,95,0
1.26,87,86,0
1.43,111,96,0
1.25,75,85,1
1.3,93,96,0
1.23,96,97,0
1.25,111,98,0
1.21,101,93,0
