Name,WHIP,ERA-,FIP-
Pedro Astacio,1.41,100,96
Pedro Ramos,1.27,98,99
Pete Harnisch,1.24,97,104
Pete Vuckovich,1.31,90,95
Ralph Terry,1.11,95,101
Ramon Martinez,1.33,90,102
Randy Jones,1.19,92,99
Ray Burris,1.39,106,110
Ray Culp,1.25,98,95
Ray Sadecki,1.25,101,97
Richard Dotson,1.43,110,111
Rick Helling,1.39,99,106
Rick Honeycutt,1.33,96,103
Rick Langford,1.3,100,100
Rick Reuschel,1.31,89,84
Rick Rhoden,1.31,96,90
Rick Sutcliffe,1.35,92,94
Rick Waits,1.43,106,103
Rick Wise,1.24,92,92
Ron Darling,1.28,102,103
Ron Guidry,1.15,75,75
Ron Reed,1.24,102,94
Ross Grimsley,1.34,114,115
Roy Oswalt,1.22,77,78
Rudy May,1.26,102,95
Russ Ortiz,1.45,98,105
Sam McDowell,1.27,86,83
Scott Erickson,1.45,100,92
Scott McGregor,1.28,97,100
Shane Rawley,1.38,101,101
Shane Reynolds,1.24,90,79
Shawn Estes,1.58,115,105
Sid Fernandez,1.09,87,93
Stan Bahnsen,1.37,107,105
Steve Barber,1.37,97,99
Steve Blass,1.33,102,108
Steve McCatty,1.41,103,115
Steve Renko,1.37,103,108
Steve Rogers,1.21,84,86
Steve Stone,1.37,107,105
Steve Trachsel,1.37,99,105
Ted Lilly,1.33,97,101
Teddy Higuera,1.19,81,83
Terry Mulholland,1.25,103,94
Tim Belcher,1.2,93,91
Tim Hudson,1.26,78,85
Tim Wakefield,1.4,92,110
Todd Stottlemyre,1.38,101,99
Tom Browning,1.23,100,109
Tommy John,1.23,86,88
Vicente Padilla,1.41,101,105
Vida Blue,1.25,90,90
Walt Terrell,1.39,103,105
Wilbur Wood,1.13,74,81
Woodie Fryman,1.31,106,94
Zane Smith,1.3,94,90
